operated_area_mu,disaster,predicted_fallow_percent
25.826538815123214,未报告受灾,5.124626082654853
27.68923868408471,未报告受灾,5.062365174870929
29.681275059173238,未报告受灾,5.0008208260913
31.811628416576028,未报告受灾,4.939985753938135
34.08990279155856,未报告受灾,4.879852726613776
36.52636907526939,未报告受灾,4.820414563150742
39.13201131785715,未报告受灾,4.761664133641933
41.918576246642985,未报告受灾,4.703594359451559
44.89862622258576,未报告受灾,4.646198213407219
48.08559587377781,未报告受灾,4.589468719973611
51.49385266128555,未报告受灾,4.53339895540833
55.13876165037725,未报告受灾,4.477982047900222
59.03675477913934,未报告受灾,4.42321117769071
63.205404936756125,未报告受灾,4.369079577178544
67.66350518541343,未报告受灾,4.315580531008423
72.43115348297184,未报告受灾,4.262707376143891
77.52984328835643,未报告受灾,4.210453501924954
82.98256045812884,未报告受灾,4.1588123501108
88.81388687106957,未报告受灾,4.107777414908064
95.05011124793009,未报告受灾,4.057342242985018
101.71934766595045,未报告受灾,4.007500433472083
108.85166230242949,未报告受灾,3.9582456379490663
116.47920897872993,未报告受灾,3.909571560419474
124.63637411577764,未报告受灾,3.861471957272327
133.35993175454126,未报告受灾,3.8139406372317963
142.6892093403538,未报告受灾,3.7669714612950482
152.66626501846375,未报告受灾,3.720558342658658
163.33607724009605,未报告受灾,3.6746952466339287
174.74674753380563,未报告受灾,3.6293761905514774
186.94971735625177,未报告受灾,3.5845952436553987
200.0,未报告受灾,3.5403465269873777
0.0,报告受灾,16.45452763764525
0.06943496817828097,报告受灾,16.27823317873536
0.14369115116248085,报告受灾,16.103463472782607
0.22310330984922924,报告受灾,15.930213132286667
0.30802944924736064,报告受灾,15.758476613163722
0.3988524324321055,报告受灾,15.588248218866093
0.4959817065641397,报告受灾,15.419522104477734
0.5998551487547112,报告受灾,15.252292280783971
0.7109410400983536,报告受灾,15.08655261831394
0.8297401767724977,报告受灾,14.92229685135408
0.9567881277212182,报告受灾,14.759518581931315
1.092657649101179,报告受灾,14.598211283764448
1.2379612663745556,报告受灾,14.438368306182433
1.3933540356894984,报告受灾,14.279982878008235
1.5595364969969592,报告受灾,14.123048111407059
1.7372578322170913,报告受灾,13.967557005697742
1.9273192426928358,报告受灾,13.813502451126267
2.130577561156883,报告受灾,13.66087723260025
2.3479491144954507,报告受灾,13.509674033383476
2.5804138547229467,报告受灾,13.3598854387495
2.8290197767907106,报告受灾,13.211503939593463
3.0948876431461825,报告受灾,13.064521936001237
3.3792160363416732,报告受灾,12.918931740775175
3.6832867624708756,报告受灾,12.774725582915703
4.008470629792805,报告受灾,12.63189561105807
4.356233628594324,报告受灾,12.490433896863665
4.728143540151209,报告受灾,12.350332438365282
5.125877004582233,报告受灾,12.21158316326583
5.551227079459465,报告受灾,12.074177932189993
6.006111323250424,报告受灾,11.93810854188839
6.4925804400338105,报告受灾,11.803366728393867
7.012827524460771,报告受灾,11.669944170129549
7.569197948639758,报告受灾,11.537832490968354
8.16419993551695,报告受灾,11.407023263243662
8.800515866418976,报告受灾,11.277508010711031
9.481014373734514,报告受灾,11.149278211460578
10.208763273250874,报告受灾,11.022325300780086
10.987043394446932,报告受灾,10.89664067396852
11.819363371092031,报告受灾,10.772215689100065
12.709475458829626,报告受灾,10.649041669738496
13.661392451054382,报告受灾,10.527109907601925
14.679405769342639,报告受灾,10.406411665177966
15.768104809991296,报告受灾,10.286938178289317
16.93239763388312,报告受灾,10.168680658609906
18.177533092952075,报告受灾,10.051630296131638
19.50912449299914,报告受灾,9.935778261581966
20.933174899534933,报告受灾,9.821115708792357
22.45610420073281,报告受灾,9.707633777017945
24.084778049497142,报告受灾,9.59532359320848
25.826538815123214,报告受灾,9.48417627423092
27.68923868408471,报告受灾,9.374182929043853
29.681275059173238,报告受灾,9.265334660824042
31.811628416576028,报告受灾,9.157622569045449
34.08990279155856,报告受灾,9.051037751510988
36.52636907526939,报告受灾,8.945571306337428
39.13201131785715,报告受灾,8.841214333893717
41.918576246642985,报告受灾,8.737957938693217
44.89862622258576,报告受灾,8.635793231240141
48.08559587377781,报告受灾,8.534711329830651
51.49385266128555,报告受灾,8.434703362309046
55.13876165037725,报告受灾,8.335760467779473
59.03675477913934,报告受灾,8.23787379827358
63.205404936756125,报告受灾,8.141034520374625
67.66350518541343,报告受灾,8.045233816798488
72.43115348297184,报告受灾,7.950462887932042
77.52984328835643,报告受灾,7.856712953329457
82.98256045812884,报告受灾,7.763975253166838
88.81388687106957,报告受灾,7.672241049655813
95.05011124793009,报告受灾,7.581501628416502
101.71934766595045,报告受灾,7.491748299810437
108.85166230242949,报告受灾,7.402972400233981
116.47920897872993,报告受灾,7.315165293372726
124.63637411577764,报告受灾,7.228318371417493
133.35993175454126,报告受灾,7.14242305624241
142.6892093403538,报告受灾,7.057470800545658
152.66626501846375,报告受灾,6.973453088953441
163.33607724009605,报告受灾,6.890361439087725
174.74674753380563,报告受灾,6.808187402598318
186.94971735625177,报告受灾,6.726922566159837
200.0,报告受灾,6.646558552434182
